STT,link post
1,https://www.linkedin.com/jobs/search?keywords=annotation&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3038277871
2,https://www.linkedin.com/jobs/search?keywords=annotation&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3038283189
3,https://www.linkedin.com/jobs/search?keywords=annotation&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3051553575
4,https://www.linkedin.com/learning/enscape-essential-training-for-revit-14324342?courseClaim=AQG5VszY7_PwSQAAAYCtknocwvmIYsJFow1n-thYF1e6UTLaEwzvuC8L1aeKD7His8SHOYdWQ1rv4h0CBeUdcUCIN_-AXCmNyy5VSTq-ma1vipBGHVtlagrtMKiPVQoibPe1K2DgCwowvFomqx8nX7_UTAoxSlGIQxJuSdMQRyr3IpawPAu2u3IwlAimOQED9HF6d8c8aBz4Bbh_9tVSD2kIJb2HxeWx32wLAReIZZQeK_bVDueAqsdHlFIEwD-jHSb65IDy4ORLi_tD26hXV7YP3ZKNv3-367dqnMo5zdI5I1ZHO456zHsmtjrqjeZPBqI-Rq2cAaYfqit6U17KJAXB1vbW5Aj56YSxgHOjrUau9UMfDJKgbGG-t5ZdR-K3g24kN0EK2-RIe1fLAdnhw95OVvi6eje4Pi_ISE9wwYt7GYo5ewgtFjDRtKeiv-at0BPXLBfUiozyagCdeLI188wqEzpelSMJj-chiK-eIgF2XiK79QI2qeCDtz5hMGosgVr7EsG9-_PjYqzQslikNHSKlDTUXJwnthwyoGR7ed6MPUv6YSTcojJhUnqpbJcHtFOCFS2ULkQxiW6eOJc1rKq8x1QVHwoNh18zOyjONTeuqsmxKS2D-O1qSWT7fDeieKV0Qu1yT15flj4SNoTF6jTWasrFTOxg-FRlHB7aUvqM8VSmFscKpGtV84WtTUnyw1Ua62f72Zs7zKtwLndYEY3sPjr0JUbpQyiTu7-xud5AWZUewu6K9h0InhymAtkcLAiMASume-t_pP5sWY3ehT_WAd_exwPfeyJJcakID-KoLF5pJIBMSu8L7l4vhPzCchrjpyNCU0VxZdEt0oFKoEChtSQXqwPd5vem2lN6PcIELtsZ6GbUrXNmySnXyPVp2xa_JutEeMiRnFet-FHVc8wUBAOoCh5rBHZOTZryxezyWNpP0GqYLY8n85nKR5ZdTKWwAlg5jyOoH6A2mN6-bjde4EG3ZMNAiDQ5RZ1m2J1X7WoJmy1VIpCwyr6MThJhdAAPV4hOuhPJ7lkSr2m5JLcc09liq5GS7tN8ys79LjEAVu9o5w5e3JRrFpzeYzFhtD-1Q_GAmFsE1OC4Q32G3LxRrGyV3onE-p9w6A&trk=search-cluster_flagship_learning
5,https://www.linkedin.com/learning/websocket-programming-with-java-ee?courseClaim=AQEs67Xa65DTqAAAAYCtknoeK7j9l4Ezdn3HFRtKNbRH4eHOYFYkVB1vRODwdxiyefp67fHUwD1t4oKMmqyVKlOjKM-Ojw8KgpktNP5Nh84XIjuhtp1GUAM3swoTEEfMjQjNvAdAjQmuasXi46jt6kbvNqXYo_jdB0_hDVj-IMOUMTHB0wpGY8u0KAix_71rq6E3ecsqfsEtmwS8GhsD9YH227Hc6uwjEy4us2MiS3BqhEe1HqyHE3NrbTqhY6eeZIJQ7Yf7veN6E7RAGQ8ys3D1Chw_3xo_F_NIy73sRItlfu_XFlsT--CJbHsMsz2JcTkeooJDC18rY-KlJvdvScfLwimcMJFfblbwknXeXT41YsI9HOoFhED_Xz3BpNiNSyNPPecG3TUCNg5VyFTdFIaoWdJspd-3BvBvZUixenRZVNsHHI3YwOLPZ1EpglTMqfYGTsT1wCmpPWZ6yl3jp9VyaRiyDlT-DBo0QeBxYtLAap8P-5otPEBV2eilpEpCcG10Xs2r13pXgEAnpZm_pMWR4nDl3fQBLUkgMcbj3DtAGUKat9YWhQSoLldz-eI3CcJZhYkm_dpElVIAHrrcaV6Boh5cXBNeXrAUebW2aKkMd72H2CMNAflJrjMzMXA3mUb1DupoaUDwNUfyoT7CgZ1rsqGtvWDQJFsS2mK-EXPfcKV20NPZ8USyh84LXbMzoogy-E9IpA4oCdGQC5zsY--Ac058ge0AtkGEOqqTEF4qAzeOLGSpZiMs-wX5b6O8UYnHic0yjQK5mUSp-D5UqenKFlmaiFuAqpnWYpTbS9w3C8fIwU5gHMuD-x6xDYuUBruxVuco8yRAPtV86dIKdbYerH2WPqnjFyrbvhQCmoGBUwYNGqtUV9sKum1KLVyPLwXqMIJTvUkb7V36w46WsbQ62ICumf7hwwm0S-M_XPbFE1gTBV_szoj92NfZb4rYCBCYhJym2imGqKd9iYNACPnkPonG9cik5H-UycmeNSmjki5_kPrOm17UKDM1h5feZPjIOm5DZSkekPxqsdUAGbbea9f9CdA5GlB-lEut8JH503NXeeOnG7f7jiKKKLagAB6OHj0-I7x0WqLnE38BRsRwGgBm7NGtPQ&trk=search-cluster_flagship_learning
6,https://www.linkedin.com/learning/autocad-2014-essential-training-4-annotating-a-drawing?courseClaim=AQEYK1o9yJwdpQAAAYCtknogO8E5BFxZTPqtQl14T9luvHB6hPkBvv2_tsJ1WN1xLEKGUGiH2TeWbhCwpxFPByIeSLwwVWb25SXkRQ5DY_H4OkdK02SAg5VKzMx70GS6m_ONu4WltH3u3Z3USGSatb2K2IY5aeHPU_w_lLk-PPcgPQ8v5uPw-5AVkIHgYfxhDrDuQlRTVZoqXLGFVrS7Y64Y7FN9HpMqxvA-1wGkJzinKwU8qm_-eYduIuEzlXclPcPwwEICa_yIB0aT-RQuxw9UlOFHRH13HIXCA4RBnef1-WXw3WBDhWa7zhh-j3err4GcwCYwRAkRma1a8wa47YSp05ODWhw8eA_OstWzkHVOrg6d0CCsAK73atng6p1WUfMPYbtHg3XhULqv_s0lW77RVEMc2NInLPsn2U62TgscW2tNrtVp6cGPpJVs6E4Rky-xhJS8xSibLBpKjyji9nvCoWGVNcq1OqsnGpbXnxQhuWWPLs9IYOCBnQFjPdIVj0t8hm0Es8_duJlPtk0gysbeRzffSG_pDifz3lpPoU5LylSUuwb77mE1K4v-HFF034obtTf67OViZ9_huW12iV9noFVb7sPltQCI7qwMgBIVDhunMu8h-maNIngraXrgC4U6fvk-h52Wgo9KNvGDuDY6lTXquolEmS9uqmf-nNYya4NhgGuXx88u0XfwljYmkJVq_Z6_SFZavewvf9deKnQ_pXa8puCWQxRo_3-jVU9x6jtGDuThelalLPI2sLDZFHoD_vvgZ1-f7I6MxSu1sivDsfasiJs07VWRwr-4lwoU45elyEwVEOLzSVgC-SAM8tVXSG1LqHHazSDijdFfxQuJNKbcMKuJAfFq2Y0M_td6DyD2AZsNlPqXhFE9za8h7DmSvh_WT8I-vt2x7gNHL5HMJS0SLWjrEG1iXmyUbUPMiCwwD2NpXsB_LO7vIfrrUO1sXvDwL4tAh2teDegJkNW1h8vDWoOl0AQ-dxL5rNWx__awA44ofPoNmgY_Se1hYTsO_4MCQ93lQ4kf_BknUhXvva1P-Sgh0ErcjoYczEUKjKVQuSbPt6rvdMtljL7YDWfoE4kbQr2QGYlxysbXxwjR-rq_E5nCRg&trk=search-cluster_flagship_learning
7,https://www.linkedin.com/in/mohammad?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAATewQBNnaISQ_DgWVphwh7gEcAazk6Yh0
8,https://www.linkedin.com/in/ptigran?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA5INagBjURBnFyN0LyMSjhKRytdcSVNHaU
9,https://www.linkedin.com/in/stuartwshulman?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAIvxLUB0E4p1ParxaIxcigTpwV06W5yHlQ
10,https://www.linkedin.com/in/ACoAADHZrgIBDNhYa-e2Qk-tSvrwF0K22h1aXo0?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADHZrgIBDNhYa-e2Qk-tSvrwF0K22h1aXo0
