STT,link post
1,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3062134665
2,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3067639748
3,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3044627157
4,https://www.linkedin.com/in/ACoAAC7bQVUB4rcqjqjCnPQ8ncDUdsM3I7xMrRk?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC7bQVUB4rcqjqjCnPQ8ncDUdsM3I7xMrRk
5,https://www.linkedin.com/in/ACoAACrq21wB2szB8hCPvDdZDgQ5rkViJx3P3Zk?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACrq21wB2szB8hCPvDdZDgQ5rkViJx3P3Zk
6,https://www.linkedin.com/in/ACoAACRx-5IBu9U7c8-SZWGh71M680TkH_2cCt4?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACRx-5IBu9U7c8-SZWGh71M680TkH_2cCt4
7,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3063219861
8,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3062147348
9,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3061580363
10,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3044630262
11,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3064286718
12,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3062139255
13,https://www.linkedin.com/jobs/search?keywords=python%20jobs&origin=BLENDED_SEARCH_RESULT_CARD_NAVIGATION&currentJobId=3059608529
