STT,link post

1,https://www.linkedin.com/in/ACoAADtk7LwBhOGGf7ZK_h7Qf-V1q7HD1nNFULQ?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADtk7LwBhOGGf7ZK_h7Qf-V1q7HD1nNFULQ
2,https://www.linkedin.com/in/ACoAACnyzWABTaOPbv_kNoO2nf1Ap2qA6IH-Rzc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACnyzWABTaOPbv_kNoO2nf1Ap2qA6IH-Rzc
3,https://www.linkedin.com/in/ACoAAC3wKc4Bq70Y1aCfc6xa3cMm8xhWHZL-Ot0?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC3wKc4Bq70Y1aCfc6xa3cMm8xhWHZL-Ot0
4,https://www.linkedin.com/in/%C4%91%E1%BA%A1t-vi%E1%BA%BFt-7913b1165?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACdkOh0BYuBa8JnPLbxQKk1_cZNd5KYMJN8
5,https://www.linkedin.com/in/ACoAABH4ymYBzVZXvqQNlUxeNtjBxWHkOqKfarg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABH4ymYBzVZXvqQNlUxeNtjBxWHkOqKfarg
6,https://www.linkedin.com/in/ACoAABzXiKAB2iUG427eWo0clin-tJz9aVFdBq8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABzXiKAB2iUG427eWo0clin-tJz9aVFdBq8
7,https://www.linkedin.com/in/ACoAACwtGkwB2uY6OvQfobCguQRtSSsr1JZFFwg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACwtGkwB2uY6OvQfobCguQRtSSsr1JZFFwg
8,https://www.linkedin.com/in/ACoAAA5F6dkB4bLsKZBYxCBUhK1BSa4KxYxCxQU?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA5F6dkB4bLsKZBYxCBUhK1BSa4KxYxCxQU
9,https://www.linkedin.com/in/ACoAADG1Tb8BzLAk0ONOo4NWCOEfAXwuTEKlQ3c?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADG1Tb8BzLAk0ONOo4NWCOEfAXwuTEKlQ3c
10,https://www.linkedin.com/in/ACoAADwGPN0BvL-W7c5Wnj-mWafrwney1DmOyKs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADwGPN0BvL-W7c5Wnj-mWafrwney1DmOyKs
11,https://www.linkedin.com/in/ACoAADEaNd8BzxBphGEDchEnpu3Qg_gEk3FUKUI?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADEaNd8BzxBphGEDchEnpu3Qg_gEk3FUKUI
12,https://www.linkedin.com/in/ACoAADG1Tb8BzLAk0ONOo4NWCOEfAXwuTEKlQ3c?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADG1Tb8BzLAk0ONOo4NWCOEfAXwuTEKlQ3c
13,https://www.linkedin.com/in/ACoAACRFq0sBI-Y1yq6Xy_862Wg1SHENa1Aow7g?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACRFq0sBI-Y1yq6Xy_862Wg1SHENa1Aow7g
14,https://www.linkedin.com/in/ACoAACUS3lIB05ci4Tn7U9xNSAr3SKShWv3_rEQ?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUS3lIB05ci4Tn7U9xNSAr3SKShWv3_rEQ
15,https://www.linkedin.com/in/ACoAAAiTKa0BhU8DKkwwGK-KdCZrA33uok3lHV8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAiTKa0BhU8DKkwwGK-KdCZrA33uok3lHV8
16,https://www.linkedin.com/in/ACoAABxPhUUBA0jtH-fWJgz8jJjYdKo7aQ3imBU?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABxPhUUBA0jtH-fWJgz8jJjYdKo7aQ3imBU
17,https://www.linkedin.com/in/ACoAADdykuMBX9y3cyniC69E1VcvFiQ3a8FITdI?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADdykuMBX9y3cyniC69E1VcvFiQ3a8FITdI
18,https://www.linkedin.com/in/ACoAADtQ7A4BSOCO6IQ80_hmPRHlK78aiYK-Uag?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADtQ7A4BSOCO6IQ80_hmPRHlK78aiYK-Uag
